CustomerID,CustomerName,Segment,City,Region,JoinDate
1,William Jones,Corporate,New York,East,2019-04-21
2,Sarah Wilson,Consumer,Philadelphia,East,2024-03-20
3,Sarah Johnson,Home Office,Seattle,North,2020-12-07
4,Robert Johnson,Consumer,Kansas City,Central,2024-01-31
5,Nancy Davis,Corporate,Boston,North,2021-08-14
6,Ashley Davis,Home Office,Charlotte,East,2020-12-30
7,Jennifer Hernandez,Corporate,Dallas,South,2019-07-17
8,Jennifer Brown,Consumer,San Francisco,West,2022-04-03
9,Michael Anderson,Consumer,Detroit,North,2021-10-04
10,Nancy Miller,Consumer,Atlanta,South,2019-07-12
11,Barbara Taylor,Consumer,New York,East,2022-05-24
12,Patricia Rodriguez,Consumer,St. Louis,Central,2019-07-29
13,Karen Wilson,Consumer,New York,East,2020-06-24
14,Patricia Gonzalez,Home Office,Charlotte,East,2024-12-30
15,Matthew Wilson,Consumer,Miami,South,2019-10-05
16,Susan Williams,Home Office,Kansas City,Central,2023-05-07
17,Lisa Martinez,Consumer,Washington,East,2020-08-29
18,Matthew Martinez,Consumer,Phoenix,West,2023-10-11
19,Nancy Garcia,Corporate,Dallas,South,2023-07-07
20,Elizabeth Martinez,Consumer,Charlotte,East,2019-04-08
21,Joseph Anderson,Corporate,St. Louis,Central,2024-06-23
22,Nancy Williams,Consumer,Indianapolis,Central,2021-03-02
23,Mark Davis,Corporate,St. Louis,Central,2020-04-23
24,James Johnson,Consumer,Atlanta,South,2020-11-30
25,Susan Jackson,Consumer,Los Angeles,West,2024-05-15
26,Linda Jones,Corporate,Denver,West,2023-09-29
27,Linda Garcia,Home Office,Seattle,North,2024-01-12
28,Sarah Davis,Home Office,Indianapolis,Central,2019-10-29
29,Betty Anderson,Corporate,Detroit,North,2020-10-04
30,Karen Taylor,Consumer,St. Louis,Central,2024-03-23
31,Lisa Thomas,Consumer,Indianapolis,Central,2021-01-17
32,Daniel Davis,Consumer,Miami,South,2024-09-11
33,David Hernandez,Consumer,Boston,North,2021-11-22
34,Robert Davis,Consumer,Chicago,Central,2020-10-24
35,Susan Wilson,Consumer,Atlanta,South,2019-12-26
36,Michael Wilson,Consumer,Denver,West,2019-12-18
37,Jessica Smith,Home Office,Chicago,Central,2023-07-13
38,Sarah Moore,Corporate,Charlotte,East,2023-12-18
39,David Wilson,Consumer,Dallas,South,2021-09-21
40,Lisa Garcia,Home Office,Phoenix,West,2023-10-19
41,Chris Jackson,Corporate,Houston,South,2023-09-06
42,Sandra Anderson,Consumer,Detroit,North,2020-10-13
43,Michael Anderson,Consumer,Charlotte,East,2022-12-07
44,David Williams,Consumer,Phoenix,West,2023-12-28
45,Linda Williams,Corporate,Chicago,Central,2023-03-10
46,Michael Smith,Corporate,Seattle,North,2022-01-13
47,Nancy Brown,Consumer,Atlanta,South,2024-07-28
48,Anthony Lopez,Consumer,Dallas,South,2022-02-19
49,Elizabeth Brown,Consumer,Chicago,Central,2021-02-05
50,Matthew Miller,Consumer,Charlotte,East,2023-09-17
51,Sandra Martin,Home Office,Houston,South,2022-08-24
52,Sarah Wilson,Corporate,Chicago,Central,2023-02-27
53,Sandra Wilson,Home Office,Boston,North,2019-05-28
54,Daniel Anderson,Corporate,Detroit,North,2023-04-29
55,Karen Moore,Corporate,San Francisco,West,2022-04-17
